หมวด,รายการวัสดุ / ค่าแรง,ปริมาณ,หน่วย,ค่าวัสดุ/หน่วย,ค่าแรง/หน่วย,สูตร,,
1,เสาเข็มไอ 0.15 x 0.15 ยาว 6 ม. (2 ท่อนต่อ),,ต้น,800,650,,,
1,เสาเข็มไอ 0.18 x 0.18 ยาว 6 ม. (ท่อนเดียว),,ต้น,950,700,,,
1,เสาเข็มไอ 0.18 x 0.18 ยาว 12 ม. (2 ท่อนต่อ),,ต้น,"2,500.00","1,200.00",,,
1,เสาเข็มไอ 0.22 x 0.22 ยาว 6 ม. (ท่อนเดียว),,ต้น,"1,500.00",850,,,
1,เสาเข็มไอ 0.22 x 0.22 ยาว 7 ม. (ท่อนเดียว),,ต้น,"1,650.00",850,,,
1,เสาเข็มไอ 0.22 x 0.22 ยาว 8 ม. (ท่อนเดียว),,ต้น,"1,850.00",850,,,
1,เสาเข็มไอ 0.22 x 0.22 ยาว 12 ม. (2 ท่อนต่อ),,ต้น,"3,600.00","1,500.00",,,
1,เสาตอม่อ คสล.(ตามแบบ),,ต้น,550,250,,,
1,ฐานรากเข็ม 0.60x0.60 ม.ลึกตามแบบ,,ต้น,"1,250.00",850,,,
1,ฐานรากแผ่ 1.00x1.00 ม.ลึก1.10,,ต้น,"1,750.00","1,500.00",,,
1,ฐานรากแผ่ 1.00x1.00 ม.ลึก1.50,,ต้น,"2,250.00","1,500.00",,,
1,ฐานรากแผ่ 1.20x1.20 ม.ลึก1.10,,ต้น,"2,750.00","1,500.00",,,
1,ฐานรากแผ่ 1.20x1.20 ม.ลึก1.50,,ต้น,"4,500.00","1,500.00",,,
1,ฐานรากแผ่ 1.35x1.35 ม.ลึก1.10,,ต้น,"3,750.00","1,500.00",,,
1,ฐานรากแผ่ 1.35x1.35 ม.ลึก1.50,,ต้น,"4,750.00","1,500.00",,,
1,ฐานรากแผ่ 1.50x1.50 ม.ลึก1.10,,ต้น,"5,500.00","1,500.00",,,
1,ฐานรากแผ่ 1.50x1.50 ม.ลึก1.50,,ต้น,"6,500.00","1,500.00",,,
1,ค่าแรงสกัดหัวเข็ม (มี Dowel),,ต้น,0,300,,,
1,ค่าแรงขุดหลุมฐานราก (กรณีแยกจากค่าเหมาฐาน),,ต้น,0,600,,,
1,ดินขุด / ดินถม (งานฐานราก/ปรับระดับ),,ตร.ม.,350,50,,,
1,ทรายหยาบอัดแน่น (หนา 5-10 ซม.),,ตร.ม.,120,150,,,
1,คอนกรีตหยาบ (Lean 1:3:6 หนา 5 ซม.),,ตร.ม.,150,200,,,
1,แบบหล่อคอนกรีต (ไม้แบบ/เหล็กแบบ + ค่าแรง),,ตร.ม.,350,200,,,
1,คอนกรีต 240 ksc. (หนา 10 ซม. สำหรับพื้น),,ตร.ม.,350,200,,,
1,คอนกรีต 240 ksc. (กรณีสั่งเป็นคิว/Ready Mix),,ลบ.ม.,"2,250.00",300,,,
1, เหล็กเส้น DB 20 mm. (ข้ออ้อย SD40),,กก.,25,0,2.466 กก.,,
1, เหล็กเส้น DB 16 mm. (ข้ออ้อย SD40),,กก.,25,0,1.578 กก.,,
1, เหล็กเส้น DB 12 mm. (ข้ออ้อย SD40),,กก.,25,0,0.888 กก.,,
1, เหล็กเส้น RB 9 mm. (เหล็กกลม SR24),,กก.,25,0,0.499 กก.,,
1, เหล็กเส้น RB 6 mm. (เหล็กกลม SR24),,กก.,25,0,0.222 กก.,,
