หมวด,รายการวัสดุ / ค่าแรง,% เผื่อสูญเสีย,ปริมาณ (ตามแบบ),ปริมาณ (รวมเผื่อ),หน่วย,ค่าวัสดุ/หน่วย,ค่าแรง/หน่วย,รวมค่าวัสดุ,รวมค่าแรง,รวมเป็นเงิน
1,เสาเข็มไอ 0.15 x 0.15 ยาว 6 ม. (2 ท่อนต่อ),0%,,"=IF(ISNUMBER(D2), D2*(1+C2), 0)",ต้น,800.00,650.00,"=IF(ISNUMBER(E2), E2*G2, 0)","=IF(ISNUMBER(E2), E2*H2, 0)","=IF(ISNUMBER(E2), I2+J2, 0)"
1,เสาเข็มไอ 0.18 x 0.18 ยาว 6 ม. (ท่อนเดียว),0%,,"=IF(ISNUMBER(D3), D3*(1+C3), 0)",ต้น,950.00,700.00,"=IF(ISNUMBER(E3), E3*G3, 0)","=IF(ISNUMBER(E3), E3*H3, 0)","=IF(ISNUMBER(E3), I3+J3, 0)"
1,เสาเข็มไอ 0.18 x 0.18 ยาว 12 ม. (2 ท่อนต่อ),0%,,"=IF(ISNUMBER(D4), D4*(1+C4), 0)",ต้น,2500.00,1200.00,"=IF(ISNUMBER(E4), E4*G4, 0)","=IF(ISNUMBER(E4), E4*H4, 0)","=IF(ISNUMBER(E4), I4+J4, 0)"
1,เสาเข็มไอ 0.22 x 0.22 ยาว 6 ม. (ท่อนเดียว),0%,,"=IF(ISNUMBER(D5), D5*(1+C5), 0)",ต้น,1500.00,850.00,"=IF(ISNUMBER(E5), E5*G5, 0)","=IF(ISNUMBER(E5), E5*H5, 0)","=IF(ISNUMBER(E5), I5+J5, 0)"
1,เสาเข็มไอ 0.22 x 0.22 ยาว 7 ม. (ท่อนเดียว),0%,,"=IF(ISNUMBER(D6), D6*(1+C6), 0)",ต้น,1650.00,850.00,"=IF(ISNUMBER(E6), E6*G6, 0)","=IF(ISNUMBER(E6), E6*H6, 0)","=IF(ISNUMBER(E6), I6+J6, 0)"
1,เสาเข็มไอ 0.22 x 0.22 ยาว 8 ม. (ท่อนเดียว),0%,,"=IF(ISNUMBER(D7), D7*(1+C7), 0)",ต้น,1850.00,850.00,"=IF(ISNUMBER(E7), E7*G7, 0)","=IF(ISNUMBER(E7), E7*H7, 0)","=IF(ISNUMBER(E7), I7+J7, 0)"
1,เสาเข็มไอ 0.22 x 0.22 ยาว 12 ม. (2 ท่อนต่อ),0%,,"=IF(ISNUMBER(D8), D8*(1+C8), 0)",ต้น,3600.00,1500.00,"=IF(ISNUMBER(E8), E8*G8, 0)","=IF(ISNUMBER(E8), E8*H8, 0)","=IF(ISNUMBER(E8), I8+J8, 0)"
1,เสาตอม่อ คสล.(ตามแบบ),0%,,"=IF(ISNUMBER(D9), D9*(1+C9), 0)",ต้น,550.00,250.00,"=IF(ISNUMBER(E9), E9*G9, 0)","=IF(ISNUMBER(E9), E9*H9, 0)","=IF(ISNUMBER(E9), I9+J9, 0)"
1,ฐานรากเข็ม 0.60x0.60 ม.ลึกตามแบบ,0%,,"=IF(ISNUMBER(D10), D10*(1+C10), 0)",ต้น,1250.00,850.00,"=IF(ISNUMBER(E10), E10*G10, 0)","=IF(ISNUMBER(E10), E10*H10, 0)","=IF(ISNUMBER(E10), I10+J10, 0)"
1,ฐานรากแผ่ 1.00x1.00 ม.ลึก1.10,0%,,"=IF(ISNUMBER(D11), D11*(1+C11), 0)",ต้น,1750.00,1500.00,"=IF(ISNUMBER(E11), E11*G11, 0)","=IF(ISNUMBER(E11), E11*H11, 0)","=IF(ISNUMBER(E11), I11+J11, 0)"
1,ฐานรากแผ่ 1.00x1.00 ม.ลึก1.50,0%,,"=IF(ISNUMBER(D12), D12*(1+C12), 0)",ต้น,2250.00,1500.00,"=IF(ISNUMBER(E12), E12*G12, 0)","=IF(ISNUMBER(E12), E12*H12, 0)","=IF(ISNUMBER(E12), I12+J12, 0)"
1,ฐานรากแผ่ 1.20x1.20 ม.ลึก1.10,0%,,"=IF(ISNUMBER(D13), D13*(1+C13), 0)",ต้น,2750.00,1500.00,"=IF(ISNUMBER(E13), E13*G13, 0)","=IF(ISNUMBER(E13), E13*H13, 0)","=IF(ISNUMBER(E13), I13+J13, 0)"
1,ฐานรากแผ่ 1.20x1.20 ม.ลึก1.50,0%,,"=IF(ISNUMBER(D14), D14*(1+C14), 0)",ต้น,4500.00,1500.00,"=IF(ISNUMBER(E14), E14*G14, 0)","=IF(ISNUMBER(E14), E14*H14, 0)","=IF(ISNUMBER(E14), I14+J14, 0)"
1,ฐานรากแผ่ 1.35x1.35 ม.ลึก1.10,0%,,"=IF(ISNUMBER(D15), D15*(1+C15), 0)",ต้น,3750.00,1500.00,"=IF(ISNUMBER(E15), E15*G15, 0)","=IF(ISNUMBER(E15), E15*H15, 0)","=IF(ISNUMBER(E15), I15+J15, 0)"
1,ฐานรากแผ่ 1.35x1.35 ม.ลึก1.50,0%,,"=IF(ISNUMBER(D16), D16*(1+C16), 0)",ต้น,4750.00,1500.00,"=IF(ISNUMBER(E16), E16*G16, 0)","=IF(ISNUMBER(E16), E16*H16, 0)","=IF(ISNUMBER(E16), I16+J16, 0)"
